time, amplitude, 
8.4717,0.16178, 
8.4961,-0.72249, 
8.5205,-1.3163, 
8.5449,-1.3108, 
8.5693,-0.87876, 
8.5938,-0.01471, 
8.6182,0.69308, 
8.6426,1.0148, 
8.667,0.81625, 
8.6914,0.09192, 
8.7158,-0.66183, 
8.7402,-0.97619, 
8.7646,-0.75007, 
8.7891,-0.32356, 
8.8135,0.21693, 
8.8379,0.53314, 
8.8623,0.26105, 
8.8867,-0.19671, 
8.9111,-0.59564, 
8.9355,-0.6747, 
8.96,-0.31253, 
8.9844,-0.01655, 
9.0088,0.27025, 
9.0332,0.34562, 
9.0576,0.05331, 
9.082,-0.50005, 
9.1064,-0.85302, 
9.1309,-0.91553, 
9.1553,-0.72801, 
9.1797,-0.18384, 
9.2041,0.41732, 
9.2285,0.92472, 
9.2529,1.0939, 
9.2773,0.68573, 
9.3018,0.13972, 
9.3262,-0.26473, 
9.3506,-0.42651, 
9.375,-0.45041, 
9.3994,-0.2059, 
9.4238,0.24451, 
9.4482,0.61219, 
9.4727,0.68756, 
9.4971,0.4357, 
9.5215,-0.03125, 
9.5459,-0.31069, 
9.5703,-0.46512, 
9.5947,-0.47431, 
9.6191,-0.25186, 
9.6436,0.09744, 
9.668,0.42835, 
9.6924,0.56255, 
9.7168,0.58829, 
9.7412,0.48902, 
9.7656,0.29598, 
9.79,0.03677, 
9.8145,-0.08457, 
9.8389,-0.13788, 
9.8633,-0.16178, 
9.8877,-0.29231, 
9.9121,-0.42283, 
9.9365,-0.27392, 
9.9609,-0.08273, 
9.9854,0.06067, 
10.01,0.00552, 
10.034,-0.08089, 
10.059,-0.2776, 
10.083,-0.68389, 
10.107,-0.98171, 
10.132,-0.98723, 
10.156,-0.82361, 
10.181,-0.64896, 
10.205,-0.41548, 
10.229,-0.17649, 
10.254,0.01838, 
10.278,0.01103, 
10.303,-0.11398, 
10.327,-0.11398, 
10.352,-0.00184, 
10.376,0.02758, 
10.4,0.07721, 
10.425,0.19303, 
10.449,0.10295, 
10.474,-0.05883, 
10.498,-0.18936, 
10.522,-0.2537, 
10.547,-0.10847, 
10.571,-0.1195, 
10.596,0.01103, 
10.62,-0.13788, 
10.645,-0.16362, 
10.669,-0.11214, 
10.693,-0.12133, 
10.718,-0.06067, 
10.742,-0.07537, 
10.767,-0.10479, 
10.791,-0.01838, 
10.815,-0.03125, 
10.84,-0.04228, 
10.864,-0.10479, 
10.889,-0.02758, 
10.913,0.03125, 
10.938,0.08089, 
10.962,0.13788, 
10.986,-0.01103, 
11.011,-0.18016, 
11.035,-0.3493, 
11.06,-0.31253, 
11.084,-0.06434, 
11.108,0.20406, 
11.133,0.25922, 
11.157,0.40629, 
11.182,0.5552, 
11.206,0.34562, 
11.23,-0.07354, 
11.255,-0.36952, 
11.279,-0.52395, 
11.304,-0.57358, 
11.328,-0.34746, 
11.353,-0.12133, 
11.377,0.0239, 
11.401,0.08457, 
11.426,-0.03493, 
11.45,-0.22061, 
11.475,-0.31988, 
11.499,-0.33091, 
11.523,-0.23348, 
11.548,-0.01471, 
11.572,0.2059, 
11.597,0.29415, 
11.621,0.23715, 
11.646,0.12501, 
11.67,0.05148, 
11.694,-0.02574, 
11.719,-0.06434, 
11.743,-0.01471, 
11.768,0.00735, 
11.792,-0.04964, 
11.816,-0.1195, 
11.841,-0.29047, 
11.865,-0.53682, 
11.89,-0.7133, 
11.914,-0.75926, 
11.938,-0.68573, 
11.963,-0.53498, 
11.987,-0.34562, 
12.012,-0.21877, 
12.036,-0.13053, 
12.061,-0.02941, 
12.085,-0.05515, 
12.109,-0.24635, 
12.134,-0.27576, 
12.158,-0.28128, 
12.183,-0.18752, 
12.207,-0.10295, 
12.231,-0.10663, 
12.256,-0.06986, 
12.28,-0.00735, 
12.305,0.1342, 
12.329,0.18384, 
12.354,0.15075, 
12.378,0.2059, 
12.402,0.16546, 
12.427,0.08089, 
12.451,-0.10295, 
12.476,-0.20958, 
12.5,-0.24267, 
12.524,-0.29047, 
12.549,-0.16913, 
12.573,-0.04412, 
12.598,-0.09376, 
12.622,-0.1673, 
12.646,-0.28495, 
12.671,-0.24451, 
12.695,-0.18752, 
12.72,-0.09927, 
12.744,0.08824, 
12.769,0.3015, 
12.793,0.54968, 
12.817,0.57174, 
12.842,0.37687, 
12.866,0.36033, 
12.891,0.34562, 
12.915,0.26841, 
12.939,0.28863, 
12.964,0.25002, 
12.988,0.14891, 
13.013,-0.10295, 
13.037,-0.16546, 
13.062,-0.12685, 
13.086,-0.1195, 
13.11,-0.06802, 
13.135,0.12133, 
13.159,0.22796, 
13.184,0.22796, 
13.208,0.15443, 
13.232,0.02206, 
13.257,-0.04412, 
13.281,0.02574, 
13.306,0.07537, 
13.33,0.03309, 
13.354,0.13237, 
13.379,0.18568, 
13.403,0.20958, 
13.428,0.22796, 
13.452,0.29966, 
13.477,0.35297, 
13.501,0.33827, 
13.525,0.36952, 
13.55,0.30334, 
13.574,0.13053, 
13.599,-0.13788, 
13.623,-0.28311, 
13.647,-0.42283, 
13.672,-0.50005, 
13.696,-0.53865, 
13.721,-0.39526, 
13.745,-0.40261, 
13.77,-0.40077, 
13.794,-0.3971, 
13.818,-0.40445, 
13.843,-0.40813, 
13.867,-0.44857, 
13.892,-0.43019, 
13.916,-0.30885, 
13.94,-0.24083, 
13.965,-0.1342, 
13.989,-0.08089, 
14.014,-0.04228, 
14.038,0.15259, 
14.063,0.16913, 
14.087,0.10479, 
14.111,-0.08641, 
14.136,-0.19671, 
14.16,-0.24451, 
14.185,-0.31437, 
14.209,-0.21326, 
14.233,-0.02206, 
